receive_msg_num, send_msg_num, msg_type, msg_priority, msg_start_time(ts), msg_end_time(ts), msg_trans_time(ns)
67, 21, d, 0, 1700669937.375754406, 1700669937.392503947,16749541
68, 19, b, 4, 1700669937.369167893, 1700669937.399163275,29995382
69, 20, c, 2, 1700669937.381681313, 1700669937.409400496,27719183
70, 19, a, 6, 1700669937.380075539, 1700669937.422630740,42555201
71, 22, d, 0, 1700669937.410352504, 1700669937.436173516,25821012
72, 20, b, 4, 1700669937.403800279, 1700669937.445709690,41909411
73, 21, c, 2, 1700669937.416213939, 1700669937.459835969,43622030
74, 23, d, 0, 1700669937.444843964, 1700669937.473407040,28563076
75, 21, b, 4, 1700669937.438221966, 1700669937.483583314,45361348
76, 24, d, 0, 1700669937.479254836, 1700669937.494623609,15368773
77, 21, a, 6, 1700669937.460582410, 1700669937.503922470,43340060
78, 22, b, 4, 1700669937.478503362, 1700669937.511985139,33481777
79, 23, c, 2, 1700669937.492588856, 1700669937.520649621,28060765
80, 25, d, 0, 1700669937.513741522, 1700669937.532792482,19050960
81, 22, a, 6, 1700669937.508591207, 1700669937.540917074,32325867
82, 23, b, 4, 1700669937.516290175, 1700669937.551334370,35044195
83, 26, d, 0, 1700669937.548461769, 1700669937.560828558,12366789
84, 24, c, 2, 1700669937.528096647, 1700669937.570061412,41964765
85, 23, a, 6, 1700669937.543130587, 1700669937.581063500,37932913
